"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"ABBUD_LIF_SIGNALING_1_DN","0.0116478691735037","0.0290802605706007","0.380730400722792","0.567612365649392","1.64761370416529","23","SYTL4, AHNAK, HK2, ITGA6, C16orf89, LIMS1, PELI1, CYFIP1, BCKDHB"
"ABBUD_LIF_SIGNALING_1_UP","0.00771682434254286","0.0207454537818585","0.407017918923954","0.507333117089096","1.65999535644338","40","RNASE2, LRG1, LBP, SOCS3, LCN2, IL1R1, TNFRSF1A, TMEM176A, TMEM176B, CEBPB, IRF1, VWF, NMI, MAN1A1, BCL3"
"ABDELMOHSEN_ELAVL4_TARGETS","0.618595825426945","0.762277897931045","0.065681360193401","0.342554871868312","0.893339335454353","15","ITGA1, BCL2, ITGB1, CDH2"
"ABE_INNER_EAR","0.0954128440366973","0.163896848137536","0.195789002148949","0.402757732756288","1.31250086923995","39","FOXD1, MGP, MIA, VAMP5, APOD, DDR2, ATP1A2, CLU"
"ABE_VEGFA_TARGETS","0.0683111954459203","0.126641087498506","0.237793834423688","0.551208384822025","1.43748103627343","15","ANGPT2, BPI, HERPUD1, SLC4A7, PCTP, PODXL, THBD"
"ABE_VEGFA_TARGETS_2HR","0.862003780718336","0.960520204366001","0.0498907356726307","0.239016194111284","0.730818311059466","29","BPI, CDKN1A, HERPUD1, TKTL1"
"ABE_VEGFA_TARGETS_30MIN","0.981024667931689","1","0.0441523058441465","0.197996095186855","0.573710205877692","24","GZMK, C2"
"ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN","0.323420074349442","0.452618230691545","0.0995791200495904","0.396442635685944","1.10631168698698","20","TGFB1, MYC, RELA, IL6ST"
"ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP","0.00061699317270611","0.00248038495917729","0.477270815362862","0.643723338663512","1.92648830930217","26","SERPINA1, DCN, BCL6, TNFRSF1A, IGFBP5, IGFBP3, HMOX1, PDGFRB, CD44, FAS, RUNX2, RB1"
"ABRAMSON_INTERACT_WITH_AIRE","0.431192660550459","0.572694544447521","0.0824344091527096","0.308575381901432","1.00965949947865","40","TOP2A, XPO1, PCNA, RANBP2, DDX5, SMC3, PABPC1, MCM5, DDX17, MSH6, LMNB1, SRSF1, XPOT, IPO7, SRSF3, SMC1A"
